# ra dec
3.41474 -0.33630
3.39782 -0.31621
3.41385 -0.37056
3.42217 -0.36306
3.43407 -0.37946
3.39531 -0.30925
3.41054 -0.33643
3.39388 -0.30641
3.41315 -0.35297
3.40956 -0.32556
3.40163 -0.33795
3.39382 -0.30659
3.42648 -0.37154
3.38861 -0.29729
3.40508 -0.34121
3.39826 -0.32723
3.39617 -0.32188
3.41086 -0.35380
3.39377 -0.32690
3.39100 -0.32115
3.44416 -0.41348
3.41559 -0.36325
3.39406 -0.32349
3.39665 -0.32750
3.39125 -0.32013
3.38488 -0.30252
3.44506 -0.40218
3.42725 -0.40676
3.43139 -0.39981
3.41177 -0.33055
3.42402 -0.36548
3.41161 -0.37027
3.40149 -0.32872
3.41336 -0.34988
3.38297 -0.30259
3.39378 -0.33013
3.38850 -0.32549
3.43706 -0.37921
3.40843 -0.33342
3.38114 -0.30047
3.40264 -0.32625
3.42635 -0.37768
3.40321 -0.34536
3.42049 -0.36997
3.37884 -0.30619
3.41725 -0.34707
3.41192 -0.34783
3.41722 -0.36546
3.42313 -0.36215
3.39645 -0.34341
3.41994 -0.35642
3.42959 -0.33524
3.46735 -0.40914
3.44728 -0.40544
3.40852 -0.34791
3.44106 -0.36793
3.41751 -0.36367
3.40631 -0.33104
3.40784 -0.33759
3.39775 -0.30213
3.42780 -0.36491
3.43190 -0.38242
3.41093 -0.32746
3.39447 -0.33525
3.37136 -0.29983
3.42223 -0.34431
3.42664 -0.39588
3.41275 -0.34175
3.42772 -0.37390
3.43076 -0.35830
3.43482 -0.39572
3.39535 -0.29246
3.41706 -0.34413
3.43013 -0.37507
3.35037 -0.24629
3.41778 -0.34688
3.39932 -0.32245
3.39596 -0.31568
3.39476 -0.30271
3.45118 -0.41305
3.38321 -0.30026
3.38135 -0.28378
3.43393 -0.37957
3.41841 -0.36500
3.41721 -0.32966
3.39035 -0.30882
3.38380 -0.30762
3.41068 -0.34338
3.38833 -0.34885
3.45645 -0.40771
3.42500 -0.36493
3.44657 -0.37351
3.40047 -0.33877
3.43917 -0.41568
3.44065 -0.38175
3.38862 -0.32198
3.42958 -0.40598
3.39369 -0.31776
3.42209 -0.35866
3.40724 -0.33322
3.44690 -0.40766
3.38175 -0.30455
3.36288 -0.26765
3.40490 -0.34542
3.40290 -0.32650
3.42332 -0.34901
3.40547 -0.36236
3.43132 -0.39802
3.41990 -0.35811
3.40110 -0.30930
3.44474 -0.38641
3.38090 -0.31681
3.38058 -0.28528
3.40395 -0.34024
3.43508 -0.36754
3.41788 -0.35133
3.38611 -0.30511
3.41208 -0.35691
3.38132 -0.29049
3.37983 -0.29774
3.40063 -0.32799
3.36874 -0.26102
3.39413 -0.32233
3.38325 -0.29493
3.41162 -0.35178
3.37463 -0.30400
3.38763 -0.29163
3.41992 -0.37285
3.38791 -0.31516
3.36497 -0.27032
3.40853 -0.33768
3.40734 -0.35717
3.40442 -0.32091
3.40808 -0.33346
3.42996 -0.38193
3.43506 -0.38030
3.41047 -0.34747
3.38747 -0.30896
3.44024 -0.40410
3.40682 -0.32634
3.41155 -0.35617
3.43439 -0.38567
3.41039 -0.35248
3.40751 -0.33807
3.38784 -0.30155
3.42925 -0.37662
3.41336 -0.34364
3.39492 -0.32143
3.39976 -0.32622
3.40950 -0.33774
3.42765 -0.37173
3.41394 -0.33486
3.43825 -0.39053
3.44203 -0.37355
3.41583 -0.35417
3.39519 -0.32255
3.40765 -0.30946
3.42904 -0.37721
3.43133 -0.38581
3.40708 -0.33232
3.44986 -0.39346
3.36486 -0.28571
3.41097 -0.37135
3.42122 -0.36471
3.43221 -0.40950
3.44099 -0.38814
3.40774 -0.35444
3.38498 -0.30314
3.38738 -0.29479
3.37925 -0.29969
3.40378 -0.34350
3.41164 -0.35658
3.37804 -0.31281
3.39013 -0.28842
3.38844 -0.30535
3.47471 -0.44148
3.41642 -0.35059
3.40836 -0.37450
3.39656 -0.31757
3.40307 -0.32533
3.37529 -0.31471
3.43051 -0.36508
3.44658 -0.39649
3.44958 -0.39872
3.39251 -0.31422
3.40300 -0.33916
3.39504 -0.31304
3.41609 -0.37492
3.39340 -0.30781
3.40825 -0.32184
3.41485 -0.36578
3.39602 -0.30908
3.39879 -0.33117
3.38104 -0.28789
3.40806 -0.33047
3.44152 -0.39387
3.39159 -0.30683
3.41897 -0.38021
3.42966 -0.38270
3.44058 -0.42738
3.40256 -0.34869
3.39600 -0.33159
3.38688 -0.27549
3.41769 -0.35103
3.40888 -0.34322
3.41154 -0.34498
3.39033 -0.31090
3.39221 -0.30850
3.44608 -0.38542
3.37525 -0.29613
3.41308 -0.33073
3.41860 -0.37651
3.39523 -0.31816
3.40259 -0.33477
3.43563 -0.40881
3.42814 -0.37015
3.40493 -0.34905
3.39930 -0.32414
3.40379 -0.35321
3.39870 -0.33376
3.42263 -0.37181
3.42244 -0.34242
3.41243 -0.35782
3.39674 -0.32359
3.40344 -0.34637
3.40578 -0.32756
