# ra dec
3.42861 -0.36903
3.39578 -0.32203
3.42245 -0.33951
3.43784 -0.41458
3.43100 -0.36881
3.38176 -0.29628
3.40294 -0.32373
3.39673 -0.33403
3.45354 -0.40030
3.42614 -0.37672
3.39086 -0.30489
3.41784 -0.35545
3.37691 -0.28927
3.39391 -0.33197
3.41480 -0.35567
3.40810 -0.33587
3.39676 -0.33298
3.39816 -0.33164
3.36209 -0.28027
3.43164 -0.37705
3.42016 -0.37862
3.42446 -0.37993
3.43318 -0.41446
3.47313 -0.45022
3.43629 -0.38917
3.41625 -0.35971
3.41109 -0.33236
3.41076 -0.33416
3.41157 -0.34009
3.38518 -0.29877
3.42381 -0.36663
3.45760 -0.43632
3.42443 -0.35446
3.41687 -0.35393
3.39074 -0.30044
3.40688 -0.36818
3.40135 -0.33648
3.42379 -0.35597
3.39862 -0.35216
3.41472 -0.35662
3.40494 -0.34711
3.40450 -0.33218
3.41015 -0.32844
3.38065 -0.28188
3.44342 -0.42905
3.39811 -0.36439
3.42448 -0.35397
3.41847 -0.33108
3.39438 -0.32909
3.40259 -0.34075
3.41991 -0.37805
3.39122 -0.28708
3.41098 -0.35658
3.39307 -0.31255
3.39791 -0.30752
3.38487 -0.29204
3.41019 -0.34458
3.40873 -0.32564
3.43180 -0.38301
3.39742 -0.30350
3.39209 -0.31337
3.39534 -0.32435
3.40902 -0.34485
3.41189 -0.33562
3.42070 -0.35422
3.42257 -0.38058
3.40537 -0.32745
3.40191 -0.31653
3.41440 -0.35044
3.38861 -0.30697
3.39322 -0.31675
3.39772 -0.33248
3.37550 -0.28202
3.41262 -0.34070
3.38862 -0.32175
3.41359 -0.35224
3.38433 -0.31084
3.42181 -0.37308
3.45565 -0.40451
3.38696 -0.29917
3.40555 -0.32810
3.38620 -0.32222
3.43713 -0.38821
3.42137 -0.37522
3.41326 -0.35556
3.44521 -0.42007
3.45590 -0.41073
3.38885 -0.30044
3.37925 -0.29660
3.46302 -0.42172
3.41962 -0.35261
3.39560 -0.32790
3.40756 -0.33888
3.42491 -0.36643
3.40701 -0.35542
3.39049 -0.31799
3.40574 -0.34106
3.42260 -0.39668
3.42631 -0.38434
3.44670 -0.43387
3.42466 -0.35451
3.38289 -0.32060
3.43225 -0.37324
3.43554 -0.39341
3.41637 -0.34297
3.37940 -0.31644
3.39955 -0.30643
3.40350 -0.35642
3.43133 -0.41299
3.41968 -0.37834
3.41866 -0.35129
3.38942 -0.31133
3.40148 -0.32871
3.46433 -0.44931
3.40649 -0.31838
3.39458 -0.33103
3.41374 -0.34954
3.39188 -0.30548
3.42260 -0.39668
3.38171 -0.30817
3.41701 -0.35661
3.43191 -0.39125
3.40965 -0.33985
3.43339 -0.37637
3.44392 -0.41062
3.40574 -0.35266
3.44323 -0.41882
3.39120 -0.33238
3.40512 -0.33573
3.44535 -0.43083
3.43482 -0.38087
3.39142 -0.32808
3.42738 -0.39148
3.42634 -0.37373
3.41046 -0.34442
3.39346 -0.32643
3.40916 -0.35265
3.40983 -0.34995
3.38404 -0.28483
3.38710 -0.30734
3.38578 -0.29632
3.40544 -0.33424
3.38912 -0.31138
3.45623 -0.41681
3.42165 -0.36237
3.43355 -0.39902
3.39615 -0.29935
3.43373 -0.36734
3.43093 -0.36780
3.39044 -0.32181
3.42180 -0.35033
3.40334 -0.33187
3.41109 -0.35267
3.37833 -0.30824
3.41368 -0.31184
3.43028 -0.38384
3.38487 -0.31298
3.40145 -0.33488
3.41070 -0.34832
3.39543 -0.34104
3.37824 -0.30107
3.40790 -0.32882
3.40501 -0.34455
3.39585 -0.33499
3.38098 -0.29948
3.43619 -0.35668
3.39390 -0.32458
3.39944 -0.33129
3.38156 -0.29382
3.41433 -0.33551
3.43658 -0.39026
3.40691 -0.31374
3.44904 -0.41615
3.40527 -0.35081
3.40006 -0.32734
3.40889 -0.30508
3.40434 -0.32221
3.43653 -0.42423
3.41662 -0.34677
3.41089 -0.33994
3.39917 -0.30544
3.43116 -0.38401
3.40458 -0.33573
3.40110 -0.33778
3.41817 -0.35615
3.43949 -0.42159
3.37974 -0.28519
3.39495 -0.30396
3.37477 -0.30051
3.43223 -0.36036
3.39374 -0.31368
3.39773 -0.31323
3.44002 -0.38359
3.42320 -0.35032
3.39134 -0.32408
3.39395 -0.30995
